X;Y
78.25;180.77
79.63;182.16
80.65;183.17
82.09;184.49
83.16;185.46
84.67;186.70
85.78;187.62
87.35;188.79
88.51;189.65
90.14;190.75
91.34;191.56
93.02;192.57
94.27;193.32
95.99;194.24
97.28;194.94
99.04;195.78
100.37;196.41
102.18;197.16
103.53;197.72
105.37;198.39
106.76;198.89
108.63;199.46
110.05;199.89
111.94;200.37
113.38;200.74
115.30;201.12
116.76;201.42
118.70;201.71
120.17;201.93
122.12;202.13
123.61;202.28
125.56;202.38
127.06;202.45
129.02;202.45
130.53;202.46
132.48;202.36
133.99;202.29
135.94;202.10
137.45;201.96
139.38;201.68
140.89;201.46
142.81;201.08
144.30;200.79
146.20;200.31
147.69;199.94
149.56;199.38
151.03;198.94
152.87;198.28
154.32;197.76
156.13;197.02
157.56;196.43
159.33;195.59
160.72;194.94
162.45;194.02
163.82;193.29
165.51;192.29
166.84;191.49
168.47;190.40
169.77;189.54
171.34;188.37
172.60;187.44
174.11;186.20
175.33;185.21
176.78;183.90
177.95;182.84
179.33;181.46
180.45;180.35
181.77;178.90
182.83;177.73
184.07;176.21
185.08;174.99
186.25;173.42
187.20;172.14
188.29;170.51
189.18;169.19
190.19;167.51
191.01;166.14
191.94;164.41
192.70;163.00
193.54;161.23
194.23;159.78
194.98;157.97
195.60;156.48
196.26;154.64
196.80;153.11
197.37;151.24
197.85;149.69
198.33;147.79
198.72;146.21
199.10;144.29
199.43;142.69
199.71;140.76
199.95;139.14
200.15;137.19
200.31;135.56
200.41;133.60
200.49;131.96
200.50;130.00
200.50;128.35
200.40;126.39
200.32;124.74
200.13;122.79
199.97;121.14
199.69;119.21
199.44;117.56
199.06;115.64
198.74;114.00
198.26;112.11
197.86;110.48
197.29;108.61
196.81;107.00
196.15;105.16
195.58;103.58
194.83;101.77
194.19;100.21
193.35;98.44
192.63;96.91
191.71;95.18
190.91;93.69
189.91;92.01
189.03;90.55
187.95;88.92
187.00;87.51
185.83;85.93
184.82;84.56
183.58;83.05
